,judul,url,date,label
10,"Bidik Kontrak Baru 2024 Naik 10 Persen, Adhi Karya: Tahun Pemilu Biasanya Mengendur, Tetapi...",https://bisnis.tempo.co/read/1802224/bidik-kontrak-baru-2024-naik-10-persen-adhi-karya-tahun-pemilu-biasanya-mengendur-tetapi,"Senin, 27 November 2023 23:00 WIB",negative
11,Pleidoi Fatia Maulidiyanti: Saya Tidak Pernah Menghina Luhut sebagai Seorang Pribadi,https://nasional.tempo.co/read/1802262/pleidoi-fatia-maulidiyanti-saya-tidak-pernah-menghina-luhut-sebagai-seorang-pribadi,"Senin, 27 November 2023 22:58 WIB",negative
12,LPSK Berikan Perlindungan kepada 3 Saksi di Kasus Syahrul Yasin Limpo,https://nasional.tempo.co/read/1802259/lpsk-berikan-perlindungan-kepada-3-saksi-di-kasus-syahrul-yasin-limpo,"Senin, 27 November 2023 22:50 WIB",negative
13,Viral Anak SD di Bekasi Jadi Korban Bullying Usai Pelajar SMA Kalah Main Bola,https://metro.tempo.co/read/1802258/viral-anak-sd-di-bekasi-jadi-korban-bullying-usai-pelajar-sma-kalah-main-bola,"Senin, 27 November 2023 22:49 WIB",negative
14,KPU Belum Tunjuk Ahli Bahas Isu Debat Capres-Cawapres,https://nasional.tempo.co/read/1802256/kpu-belum-tunjuk-ahli-bahas-isu-debat-capres-cawapres,"Senin, 27 November 2023 22:37 WIB",negative
15,LPSK Tolak Permohonan Perlindungan Syahrul Yasin Limpo karena Tersangka KPK,https://metro.tempo.co/read/1802254/lpsk-tolak-permohonan-perlindungan-syahrul-yasin-limpo-karena-tersangka-kpk,"Senin, 27 November 2023 22:25 WIB",negative
16,Kebiasaan Bekerja yang Menunjukkan Anda Alami Gangguan Mental ADHD,https://gaya.tempo.co/read/1802253/kebiasaan-bekerja-yang-menunjukkan-anda-alami-gangguan-mental-adhd,"Senin, 27 November 2023 22:23 WIB",negative
17,"Gunung Anak Krakatau Kembali Erupsi Senin Malam, 14 Kali dalam Dua Hari",https://tekno.tempo.co/read/1802251/gunung-anak-krakatau-kembali-erupsi-senin-malam-14-kali-dalam-dua-hari,"Senin, 27 November 2023 22:22 WIB",negative
18,"APDESI Diduga Dukung Prabowo-Gibran, Bawaslu DKI Bertindak",https://metro.tempo.co/read/1802250/apdesi-diduga-dukung-prabowo-gibran-bawaslu-dki-bertindak,"Senin, 27 November 2023 22:19 WIB",negative
19,Liga Champions: Luis Enrique Anggap Laga PSG vs Newcastle United seperti Partai Final,https://bola.tempo.co/read/1802249/liga-champions-luis-enrique-anggap-laga-psg-vs-newcastle-united-seperti-partai-final,"Senin, 27 November 2023 22:17 WIB",negative
20,BCL dan Tiko Aryawardhana Sudah Ajukan Surat Pengantar Pernikahan ke Bali,https://seleb.tempo.co/read/1802248/bcl-dan-tiko-aryawardhana-sudah-ajukan-surat-pengantar-pernikahan-ke-bali,"Senin, 27 November 2023 22:10 WIB",negative
21,"Top 3 Tekno Berita Hari Ini: UGM Akan Kirim Mahasiswa KKN Pantau Pemilu, Sosok Yulion",https://tekno.tempo.co/read/1802247/top-3-tekno-berita-hari-ini-ugm-akan-kirim-mahasiswa-kkn-pantau-pemilu-sosok-yulion,"Senin, 27 November 2023 22:09 WIB",negative
22,"Situasi Terkini di Gaza, Mesir: Perpanjangan Gencatan Senjata Hampir Disepakati",https://dunia.tempo.co/read/1802246/situasi-terkini-di-gaza-mesir-perpanjangan-gencatan-senjata-hampir-disepakati,"Senin, 27 November 2023 22:07 WIB",negative
23,"Antonio Conte Dikabarkan akan Kembali ke Juventus, Massimiliano Allegri Ingin Hengkang",https://bola.tempo.co/read/1802241/antonio-conte-dikabarkan-akan-kembali-ke-juventus-massimiliano-allegri-ingin-hengkang,"Senin, 27 November 2023 22:05 WIB",negative
24,"Busa Penuhi Aliran Kali Baru di Depok, Tebalnya Sampai Tutupi 5 Rumah",https://metro.tempo.co/read/1802244/busa-penuhi-aliran-kali-baru-di-depok-tebalnya-sampai-tutupi-5-rumah,"Senin, 27 November 2023 22:02 WIB",negative
25,"Kejuaraan Dunia Aquabike Jetski Danau Toba, Sandiaga Sebut Penonton Hampir 220 Ribu",https://bisnis.tempo.co/read/1802209/kejuaraan-dunia-aquabike-jetski-danau-toba-sandiaga-sebut-penonton-hampir-220-ribu,"Senin, 27 November 2023 22:00 WIB",negative
26,Pengamat Sepak Bola: Rumput JIS Tak Picu Genangan Air tapi Tampilannya Bermasalah,https://metro.tempo.co/read/1802243/pengamat-sepak-bola-rumput-jis-tak-picu-genangan-air-tapi-tampilannya-bermasalah,"Senin, 27 November 2023 21:58 WIB",negative
27,"Umi Pipik Ulang Tahun, Abidzar Beri Kado Rumah dan Mobil",https://seleb.tempo.co/read/1802056/umi-pipik-ulang-tahun-abidzar-beri-kado-rumah-dan-mobil,"Senin, 27 November 2023 21:47 WIB",negative
28,"Dampak Marak Boikot Produk Terafiliasi Israel pada Investasi di RI, Ini Jawaban Bahlil",https://bisnis.tempo.co/read/1802238/dampak-marak-boikot-produk-terafiliasi-israel-pada-investasi-di-ri-ini-jawaban-bahlil,"Senin, 27 November 2023 21:43 WIB",negative
29,Piala Dunia U-17 2023: Gelandang Prancis Nolan Ferro Kagumi Gaya Bermain Paul Pogba dan Sergio Busquets,https://bola.tempo.co/read/1802235/piala-dunia-u-17-2023-gelandang-prancis-nolan-ferro-kagumi-gaya-bermain-paul-pogba-dan-sergio-busquets,"Senin, 27 November 2023 21:37 WIB",negative
30,Film 12.12: The Day Capai 2 Juta Penonton Dalam 6 Hari Penayangan,https://seleb.tempo.co/read/1802234/film-12-12-the-day-capai-2-juta-penonton-dalam-6-hari-penayangan,"Senin, 27 November 2023 21:35 WIB",negative
31,"Kabar Tiktok Gandeng Tokopedia, Bahlil: Selama B to B, Kita Tak Boleh Intervensi",https://bisnis.tempo.co/read/1802233/kabar-tiktok-gandeng-tokopedia-bahlil-selama-b-to-b-kita-tak-boleh-intervensi,"Senin, 27 November 2023 21:33 WIB",negative
32,"Turnamen Bulu Tangkis Daihatsu Indonesia Masters 2024 Digelar Januari, Simak Jadwal dan Harga Tiketnya",https://sport.tempo.co/read/1802229/turnamen-bulu-tangkis-daihatsu-indonesia-masters-2024-digelar-januari-simak-jadwal-dan-harga-tiketnya,"Senin, 27 November 2023 21:28 WIB",negative
33,Pelanggan Didenda PLN Rp 33 Juta Termasuk Golongan Pelanggaran Terbanyak,https://metro.tempo.co/read/1802228/pelanggan-didenda-pln-rp-33-juta-termasuk-golongan-pelanggaran-terbanyak,"Senin, 27 November 2023 21:26 WIB",negative
34,Film Hamka & Siti Raham Vol. 2 akan Gala Premiere di 30 Kota Indonesia,https://seleb.tempo.co/read/1802226/film-hamka-siti-raham-vol-2-akan-gala-premiere-di-30-kota-indonesia,"Senin, 27 November 2023 21:25 WIB",negative
35,"Gantikan Firli Bahuri, Nawawi Pomolango Sampaikan Poin-Poin Prioritas Pimpinan KPK",https://nasional.tempo.co/read/1802227/gantikan-firli-bahuri-nawawi-pomolango-sampaikan-poin-poin-prioritas-pimpinan-kpk,"Senin, 27 November 2023 21:22 WIB",negative
36,Lombok-Sumbawa Motocross Berdampak Positif bagi Perekonomian Daerah dan UMKM,https://travel.tempo.co/read/1802204/lombok-sumbawa-motocross-berdampak-positif-bagi-perekonomian-daerah-dan-umkm,"Senin, 27 November 2023 21:19 WIB",negative
37,"JIS Tergenang, Bung Kus Duga Ada Sisa Proyek yang Menghambat Drainase",https://metro.tempo.co/read/1802222/jis-tergenang-bung-kus-duga-ada-sisa-proyek-yang-menghambat-drainase,"Senin, 27 November 2023 21:16 WIB",negative
38,"Hasil Liga 1: Berkat Gol di Waktu Tambahan, Bhayangkara FC Tahan Persija Jakarta 2-2",https://bola.tempo.co/read/1802220/hasil-liga-1-berkat-gol-di-waktu-tambahan-bhayangkara-fc-tahan-persija-jakarta-2-2,"Senin, 27 November 2023 21:08 WIB",negative
39,BRI Resmikan Sentra Layanan Prioritas Semarang Pattimura,https://bisnis.tempo.co/read/1802219/bri-resmikan-sentra-layanan-prioritas-semarang-pattimura,"Senin, 27 November 2023 21:07 WIB",negative
40,"Naik Tipis, Laba Bersih BTN Kuartal III 2023 Rp 2,31 Triliun",https://bisnis.tempo.co/read/1802217/naik-tipis-laba-bersih-btn-kuartal-iii-2023-rp-231-triliun,"Senin, 27 November 2023 21:06 WIB",negative
41,Menlu Retno Sampaikan Situasi Terkini Gaza ke Komisi I DPR,https://dunia.tempo.co/read/1802203/menlu-retno-sampaikan-situasi-terkini-gaza-ke-komisi-i-dpr,"Senin, 27 November 2023 21:00 WIB",negative
42,Megawati Soekarnoputri Sebut Pemerintah Seperti Orde Baru,https://nasional.tempo.co/read/1802215/megawati-soekarnoputri-sebut-pemerintah-seperti-orde-baru,"Senin, 27 November 2023 20:59 WIB",negative
43,"Sederet Idola K-Pop Jadi Korban Kekerasan, Sekilas Member K-Pop yang Terlibat",https://seleb.tempo.co/read/1802132/sederet-idola-k-pop-jadi-korban-kekerasan-sekilas-member-k-pop-yang-terlibat,"Senin, 27 November 2023 20:59 WIB",negative
44,"Bandara Kertajati Ditawarkan ke Abu Dhabi Airports, Bakal Joint Venture?",https://bisnis.tempo.co/read/1802213/bandara-kertajati-ditawarkan-ke-abu-dhabi-airports-bakal-joint-venture,"Senin, 27 November 2023 20:58 WIB",negative
45,"Hasil, Top Skor, Klasemen Liga 1 Pekan Ke-20: Persija Jakarta Ditahan Bhayangkara FC 2-2, Borneo FC Kalahkan Persis Solo 1-0",https://bola.tempo.co/read/1802211/hasil-top-skor-klasemen-liga-1-pekan-ke-20-persija-jakarta-ditahan-bhayangkara-fc-2-2-borneo-fc-kalahkan-persis-solo-1-0,"Senin, 27 November 2023 20:58 WIB",negative
46,Fakta di Balik Tubuh Sering Nyeri dan Ngilu saat Musim Hujan,https://gaya.tempo.co/read/1802208/fakta-di-balik-tubuh-sering-nyeri-dan-ngilu-saat-musim-hujan,"Senin, 27 November 2023 20:48 WIB",negative
47,"5 Destinasi Wisata Mali, Cagar Alam hingga Suasana Perkotaan",https://travel.tempo.co/read/1802200/5-destinasi-wisata-mali-cagar-alam-hingga-suasana-perkotaan,"Senin, 27 November 2023 20:47 WIB",negative
48,Top Skor Piala Dunia U-17 2023: Penyerang Timnas Argentina U-17 Agustin Ruberto Bicara Soal Persaingannya dengan Claudio Echeverri,https://bola.tempo.co/read/1802206/top-skor-piala-dunia-u-17-2023-penyerang-timnas-argentina-u-17-agustin-ruberto-bicara-soal-persaingannya-dengan-claudio-echeverri,"Senin, 27 November 2023 20:45 WIB",negative
49,Jokowi Give Permit Extension for Freeport's Shares,https://newsletter.tempo.co/read/1802139/jokowi-give-permit-extension-for-freeports-shares,"Senin, 27 November 2023 20:45 WIB",negative
50,Zulhas: Izin Ekspor Pasir Laut Bakal Keluar Setelah Rilis Rekomendasi dari Kementerian ESDM,https://bisnis.tempo.co/read/1802205/zulhas-izin-ekspor-pasir-laut-bakal-keluar-setelah-rilis-rekomendasi-dari-kementerian-esdm,"Senin, 27 November 2023 20:41 WIB",negative
51,"Liga Inggris: Tottenham Hotspur Sempat Menggebrak di Awal Musim, Kini 3 Kali Kalah Beruntun, Apa yang Salah?",https://sport.tempo.co/read/1802202/liga-inggris-tottenham-hotspur-sempat-menggebrak-di-awal-musim-kini-3-kali-kalah-beruntun-apa-yang-salah,"Senin, 27 November 2023 20:38 WIB",negative
52,"Seharian Bersama Gajah Way Kambas, Mulai dari Sarapan sampai Makan Malam Bareng",https://travel.tempo.co/read/1802186/seharian-bersama-gajah-way-kambas-mulai-dari-sarapan-sampai-makan-malam-bareng,"Senin, 27 November 2023 20:36 WIB",negative
53,"Anies Baswedan Akan Mulai Hari Pertama Kampanye di Jakarta, Muhaimin Iskandar di Jawa Timur",https://nasional.tempo.co/read/1802201/anies-baswedan-akan-mulai-hari-pertama-kampanye-di-jakarta-muhaimin-iskandar-di-jawa-timur,"Senin, 27 November 2023 20:35 WIB",negative
54,"OJK: Dari 13 Bank Syariah, Hanya Satu yang Asetnya Rp 100 Triliun Lebih",https://bisnis.tempo.co/read/1802199/ojk-dari-13-bank-syariah-hanya-satu-yang-asetnya-rp-100-triliun-lebih,"Senin, 27 November 2023 20:30 WIB",negative
55,"Daftar Pembalap yang Berhasil Juara MotoGP Berturut-turut, Terbaru Francesco Bagnaia",https://otomotif.tempo.co/read/1802198/daftar-pembalap-yang-berhasil-juara-motogp-berturut-turut-terbaru-francesco-bagnaia,"Senin, 27 November 2023 20:29 WIB",negative
56,"Viral Foto AI Prabowo, Anies, Ganjar, Ini Kata Dosen Kajian Media UM Surabaya",https://tekno.tempo.co/read/1802197/viral-foto-ai-prabowo-anies-ganjar-ini-kata-dosen-kajian-media-um-surabaya,"Senin, 27 November 2023 20:27 WIB",negative
57,"Gol Salto Alejandro Garnacho Disebut Mirip Gol Wayne Rooney dan Ronaldo, Apa Kata Erik ten Hag?",https://sport.tempo.co/read/1802196/gol-salto-alejandro-garnacho-disebut-mirip-gol-wayne-rooney-dan-ronaldo-apa-kata-erik-ten-hag,"Senin, 27 November 2023 20:26 WIB",negative
58,"Profil Sandeep Kohli, yang Mengundurkan Diri dari Posisi Direktur Unilever",https://bisnis.tempo.co/read/1802195/profil-sandeep-kohli-yang-mengundurkan-diri-dari-posisi-direktur-unilever,"Senin, 27 November 2023 20:25 WIB",negative
59,Perang Dua Medan Netanyahu: Melawan Hamas dan untuk Karier Politiknya,https://dunia.tempo.co/read/1802193/perang-dua-medan-netanyahu-melawan-hamas-dan-untuk-karier-politiknya,"Senin, 27 November 2023 20:24 WIB",negative
60,Ganjar Pranowo Minta Relawan Buka Mata dan Telinga Untuk Dengarkan Aspirasi Masyarakat,https://nasional.tempo.co/read/1802194/ganjar-pranowo-minta-relawan-buka-mata-dan-telinga-untuk-dengarkan-aspirasi-masyarakat,"Senin, 27 November 2023 20:24 WIB",negative
61,Mengenal Yanis Issoufou yang Dilarang Memperkuat Timnas Prancis U-17 dalam Piala Dunia U-17 2023,https://sport.tempo.co/read/1802188/mengenal-yanis-issoufou-yang-dilarang-memperkuat-timnas-prancis-u-17-dalam-piala-dunia-u-17-2023,"Senin, 27 November 2023 20:23 WIB",negative
62,Asosiasi Logistik Sebut Pembatasan Angkutan Barang Rugikan Pelaku Industri dan Masyarakat,https://bisnis.tempo.co/read/1802190/asosiasi-logistik-sebut-pembatasan-angkutan-barang-rugikan-pelaku-industri-dan-masyarakat,"Senin, 27 November 2023 20:18 WIB",negative
63,Cerita Bintang Timnas Jerman U-17 Noah Darvich Senang Bisa ke Indonesia karena Piala Dunia U-17 2023,https://bola.tempo.co/read/1802189/cerita-bintang-timnas-jerman-u-17-noah-darvich-senang-bisa-ke-indonesia-karena-piala-dunia-u-17-2023,"Senin, 27 November 2023 20:12 WIB",negative
64,"Catat Rekor, 3 Juta Orang Ikut Ujian CPNS Cina",https://dunia.tempo.co/read/1802185/catat-rekor-3-juta-orang-ikut-ujian-cpns-cina,"Senin, 27 November 2023 20:10 WIB",negative
65,"Dugaan Gaji Guru Honorer Disunat hingga Jadi Rp300 Ribu, Ini yang Dilakukan Pemprov DKI",https://metro.tempo.co/read/1802184/dugaan-gaji-guru-honorer-disunat-hingga-jadi-rp300-ribu-ini-yang-dilakukan-pemprov-dki,"Senin, 27 November 2023 20:04 WIB",negative
66,Cegah Aneurisma dengan Rutin Skrining Otak,https://gaya.tempo.co/read/1802183/cegah-aneurisma-dengan-rutin-skrining-otak,"Senin, 27 November 2023 20:00 WIB",negative
67,Francesco Bagnaia Patahkan Kutukan Nomor 1 Tak Bisa Juara Dunia MotoGP,https://otomotif.tempo.co/read/1802176/francesco-bagnaia-patahkan-kutukan-nomor-1-tak-bisa-juara-dunia-motogp,"Senin, 27 November 2023 20:00 WIB",negative
68,"Diguyur Hujan, Gunung Merapi Luncurkan Dua Kali Awan Panas",https://travel.tempo.co/read/1802178/diguyur-hujan-gunung-merapi-luncurkan-dua-kali-awan-panas,"Senin, 27 November 2023 20:00 WIB",negative
69,"5 Platform Digital Musik, Apa Saja Perbedaannya?",https://tekno.tempo.co/read/1802180/5-platform-digital-musik-apa-saja-perbedaannya,"Senin, 27 November 2023 19:54 WIB",negative
70,Sudinkes Jakarta Barat Klaim Warga Tak Permasalahkan Nyamuk Wolbachia,https://metro.tempo.co/read/1802182/sudinkes-jakarta-barat-klaim-warga-tak-permasalahkan-nyamuk-wolbachia,"Senin, 27 November 2023 19:50 WIB",negative
71,Perjalanan 3 Masa dalam Pertunjukan Tari Omah Wulangreh Gugur Gunung Tri Kala,https://seleb.tempo.co/read/1802181/perjalanan-3-masa-dalam-pertunjukan-tari-omah-wulangreh-gugur-gunung-tri-kala,"Senin, 27 November 2023 19:48 WIB",negative
72,Lansia di Tebet Ditemukan Meninggal Tergeletak di Atap Rumah,https://metro.tempo.co/read/1802179/lansia-di-tebet-ditemukan-meninggal-tergeletak-di-atap-rumah,"Senin, 27 November 2023 19:47 WIB",negative
73,Lonjakan Penyakit Pernapasan Cina Tidak Setinggi Masa Pra-Pandemik Covid-19,https://dunia.tempo.co/read/1802177/lonjakan-penyakit-pernapasan-cina-tidak-setinggi-masa-pra-pandemik-covid-19,"Senin, 27 November 2023 19:46 WIB",negative
74,"Layanan Bodi dan Cat Mobil Honda Kini Tersedia di Jaktim, Catat Lokasinya",https://otomotif.tempo.co/read/1802175/layanan-bodi-dan-cat-mobil-honda-kini-tersedia-di-jaktim-catat-lokasinya,"Senin, 27 November 2023 19:34 WIB",negative
75,Jokowi Beri Izin Mahfud Md dan Prabowo Cuti Kampanye untuk Pilpres 2024,https://nasional.tempo.co/read/1802174/jokowi-beri-izin-mahfud-md-dan-prabowo-cuti-kampanye-untuk-pilpres-2024,"Senin, 27 November 2023 19:32 WIB",negative
76,"Chai Tea Minuman Teh Rempah, Apa Saja Manfaatnya?",https://gaya.tempo.co/read/1802172/chai-tea-minuman-teh-rempah-apa-saja-manfaatnya,"Senin, 27 November 2023 19:32 WIB",negative
77,PPC: 3.200 Warga Palestina Ditangkap Israel Sejak 7 Oktober,https://dunia.tempo.co/read/1802173/ppc-3-200-warga-palestina-ditangkap-israel-sejak-7-oktober,"Senin, 27 November 2023 19:27 WIB",negative
78,Pj.Bupati Tangerang Percepat Pelayanan Air Bersih untuk Pengentasan Masyarakat Miskin Ekstrim dan Penurunan Stunting,https://event.tempo.co/read/1802163/pj-bupati-tangerang-percepat-pelayanan-air-bersih-untuk-pengentasan-masyarakat-miskin-ekstrim-dan-penurunan-stunting,"Senin, 27 November 2023 19:20 WIB",negative
79,"Anies Baswedan Kritik IKN, Kubu Prabowo-Gibran dan Ganjar-Mahfud Kompak Bela Program Jokowi Ini",https://nasional.tempo.co/read/1802166/anies-baswedan-kritik-ikn-kubu-prabowo-gibran-dan-ganjar-mahfud-kompak-bela-program-jokowi-ini,"Senin, 27 November 2023 19:20 WIB",negative
80,Kata Nawawi Pomolango Soal Dirinya Keberatan Firli Bahuri Ikut Gelar Perkara Muhammad Suryo,https://nasional.tempo.co/read/1802169/kata-nawawi-pomolango-soal-dirinya-keberatan-firli-bahuri-ikut-gelar-perkara-muhammad-suryo,"Senin, 27 November 2023 19:20 WIB",negative
81,"Rocky Gerung Hadiri Sidang Pleidoi Haris Azhar, Begini Kritiknya untuk Jaksa",https://metro.tempo.co/read/1802171/rocky-gerung-hadiri-sidang-pleidoi-haris-azhar-begini-kritiknya-untuk-jaksa,"Senin, 27 November 2023 19:17 WIB",negative
82,24 Orang Tewas akibat Sambaran Petir di India,https://dunia.tempo.co/read/1802168/24-orang-tewas-akibat-sambaran-petir-di-india,"Senin, 27 November 2023 19:14 WIB",negative
83,Korea Selatan Hukum Pria Lansia karena Puji Korut dan Kirim Puisi,https://dunia.tempo.co/read/1802144/korea-selatan-hukum-pria-lansia-karena-puji-korut-dan-kirim-puisi,"Senin, 27 November 2023 19:12 WIB",negative
84,Donghae dan Lee Seol Pemeran Drakor Between Him and Her,https://seleb.tempo.co/read/1802085/donghae-dan-lee-seol-pemeran-drakor-between-him-and-her,"Senin, 27 November 2023 19:09 WIB",negative
85,DPR Ingatkan Mendag Zulhas Ihwal Kenaikan Bahan Pokok Jelang Nataru,https://bisnis.tempo.co/read/1802165/dpr-ingatkan-mendag-zulhas-ihwal-kenaikan-bahan-pokok-jelang-nataru,"Senin, 27 November 2023 19:07 WIB",negative
86,"Sidang Haris Azhar Dipantau LSM Internasional, Disebut Upaya Pembungkaman",https://metro.tempo.co/read/1802164/sidang-haris-azhar-dipantau-lsm-internasional-disebut-upaya-pembungkaman,"Senin, 27 November 2023 19:06 WIB",negative
87,"Ma'ruf Amin Minta KPK dan MK Jaga Integritas, Ini Kisah Berdiri 2 Lembaga Hukum Itu",https://nasional.tempo.co/read/1802160/maruf-amin-minta-kpk-dan-mk-jaga-integritas-ini-kisah-berdiri-2-lembaga-hukum-itu,"Senin, 27 November 2023 19:02 WIB",negative
88,Neta Klaim STNK Mobil Listrik Neta V Segera Diserahkan ke Konsumen,https://otomotif.tempo.co/read/1802145/neta-klaim-stnk-mobil-listrik-neta-v-segera-diserahkan-ke-konsumen,"Senin, 27 November 2023 19:00 WIB",negative
89,Pengadilan Beijing Memulai Sidang Kompensasi bagi Korban MH370,https://dunia.tempo.co/read/1802159/pengadilan-beijing-memulai-sidang-kompensasi-bagi-korban-mh370,"Senin, 27 November 2023 18:59 WIB",negative
90,"HUT AirAsia ke 22, Tawarkan Promo Terbang Hemat: Harga Mulai Rp 150 Ribu",https://bisnis.tempo.co/read/1802158/hut-airasia-ke-22-tawarkan-promo-terbang-hemat-harga-mulai-rp-150-ribu,"Senin, 27 November 2023 18:59 WIB",negative
91,"Paspampres dan 2 Anggota TNI Dituntut Hukuman Mati, Oditur Militer: Nihil Hal Meringankan",https://metro.tempo.co/read/1802152/paspampres-dan-2-anggota-tni-dituntut-hukuman-mati-oditur-militer-nihil-hal-meringankan,"Senin, 27 November 2023 18:49 WIB",negative
92,"Tawuran AntarKelompok Gangster di Pondok Aren, Satu Pemuda Terluka karena Senjata Tajam",https://metro.tempo.co/read/1802151/tawuran-antarkelompok-gangster-di-pondok-aren-satu-pemuda-terluka-karena-senjata-tajam,"Senin, 27 November 2023 18:46 WIB",negative
93,Bahlil Lahadalia Klaim Jokowi Tak Buat Arahan Menangkan Prabowo-Gibran,https://nasional.tempo.co/read/1802146/bahlil-lahadalia-klaim-jokowi-tak-buat-arahan-menangkan-prabowo-gibran,"Senin, 27 November 2023 18:45 WIB",negative
94,"Cara Cek PIP 2023 Lewat HP untuk Siswa SD, SMP, hingga SMA",https://tekno.tempo.co/read/1802134/cara-cek-pip-2023-lewat-hp-untuk-siswa-sd-smp-hingga-sma,"Senin, 27 November 2023 18:44 WIB",negative
95,KPK Tahan Bupati Muna Dalam Kasus Korupsi Dana PEN,https://nasional.tempo.co/read/1802149/kpk-tahan-bupati-muna-dalam-kasus-korupsi-dana-pen,"Senin, 27 November 2023 18:42 WIB",negative
96,Tiket Pertandingan Babak Final Piala Dunia U-17 2023 di Solo Ludes,https://bola.tempo.co/read/1802148/tiket-pertandingan-babak-final-piala-dunia-u-17-2023-di-solo-ludes,"Senin, 27 November 2023 18:42 WIB",negative
97,"Firli Bahuri Ajukan Praperadilan Gugat Polda Metro Jaya, Begini Pengertian Praperadilan",https://metro.tempo.co/read/1802143/firli-bahuri-ajukan-praperadilan-gugat-polda-metro-jaya-begini-pengertian-praperadilan,"Senin, 27 November 2023 18:40 WIB",negative
98,Erdogan Ingin Turki dan Iran Bergandeng Tangan Lawan Kebrutalan Israel di Gaza,https://dunia.tempo.co/read/1802142/erdogan-ingin-turki-dan-iran-bergandeng-tangan-lawan-kebrutalan-israel-di-gaza,"Senin, 27 November 2023 18:38 WIB",negative
99,"Fabio Di Giannantonio Bergabung dengan Tim Valentino Rossi, Disponsori Pertamina",https://otomotif.tempo.co/read/1802141/fabio-di-giannantonio-bergabung-dengan-tim-valentino-rossi-disponsori-pertamina,"Senin, 27 November 2023 18:34 WIB",negative
100,"Israel Menjamu Elon Musk, Mengincar Starlink untuk Gaza",https://dunia.tempo.co/read/1802140/israel-menjamu-elon-musk-mengincar-starlink-untuk-gaza,"Senin, 27 November 2023 18:22 WIB",negative
101,"Rekomendasi 4 Kuliner Khas Mali: Tiguadege Na, Hingga Nasi Jollof",https://travel.tempo.co/read/1802126/rekomendasi-4-kuliner-khas-mali-tiguadege-na-hingga-nasi-jollof,"Senin, 27 November 2023 18:19 WIB",negative
102,Kapal Kargo Angkut Asam Fosfat Milik Pengusaha Israel Diserang di Yaman,https://dunia.tempo.co/read/1802130/kapal-kargo-angkut-asam-fosfat-milik-pengusaha-israel-diserang-di-yaman,"Senin, 27 November 2023 18:17 WIB",negative
103,"Anies Baswedan Kritik IKN, Bahlil Lahadalia: PKB Dulu Setuju, yang Konsisten Aja Lah",https://nasional.tempo.co/read/1802138/anies-baswedan-kritik-ikn-bahlil-lahadalia-pkb-dulu-setuju-yang-konsisten-aja-lah,"Senin, 27 November 2023 18:16 WIB",negative
